Image,AvgDuration,Area
C14,225.75899524779362,21630.025728
C17,256.19323671497585,13388.218368
C10,257.93718843469594,20511.719424
C42,245.3032967032967,10217.324544
C43,250.12934472934472,11098.128384
C2,249.63585694379935,9923.723264
C20,248.20362212432698,20728.774656
C23,251.2375249500998,8808.0384
C50,241.79738878143132,19583.205376
C12,255.89523418241578,21379.678208
C13,226.55381604696674,21229.469696
C41,252.6539035305818,21630.025728
C7,253.7655205348615,21379.678208
C40,245.12475884244373,7398.752256
C52,258.4215755855216,21630.025728
C11,265.3776824034335,21479.817216
C38,255.02702702702703,21329.608704
C29,237.29108796296296,18478.53056
C39,245.95554035567716,21630.025728
C32,268.85333333333335,20363.083776
C4,245.74943224829676,21403.533312
C45,253.67670157068062,21630.025728
C9,250.23529411764707,8103.395328
C27,247.5286968264686,13197.377536
C25,247.8002481389578,9791.602688
C19,257.2014598540146,13740.539904
C49,260.72677219545767,21630.025728
C47,260.8822170900693,21630.025728
C56,281.27358490566036,20979.122176
C24,258.50338818973864,21229.469696
C30,249.13314606741574,8455.716864
C58,270.77777777777777,7765.753856
C22,247.54058531198234,10701.766656
C35,276.9903691813804,14092.86144
C48,247.0956862745098,21630.025728
C54,234.96242331288343,22137.536512
C26,271.3227091633466,21579.956224
C6,241.09886264216973,21680.095232
C16,257.57635082223965,4183.81824
C53,249.71463119709796,9453.961216
C60,250.95437262357413,20719.86176
C37,243.6958925750395,6230.900736
C3,258.3792557403009,17942.44608
C8,256.33417085427135,21630.025728
C59,240.8375568551007,9175.04
C21,232.02753441802253,20828.913664
C57,252.98142857142858,21630.025728
C28,258.9669777458722,6341.787648
C36,250.33862433862433,21630.025728
C51,289.20620437956205,21680.095232
C44,285.02702702702703,21630.025728
C5,265.5389718076285,10305.404928
C33,269.83986928104576,11832.131584
C55,268.0689655172414,15061.745664
C18,274.7674418604651,21630.025728
C1,273.8937875751503,7707.0336
C15,227.82937853107344,20828.913664
C31,261.8990719257541,21388.853248
C46,260.1653543307087,10217.324544
C34,264.18101545253865,21630.025728
