x,y,gaze,user
52105.2778555922,32597.3860483569,83.0,P8
32627.7076507786,68305.2096967479,92.0,P8
36797.0277904672,62022.1257446791,133.0,P8
36672.5704728645,61524.4557286736,75.0,P8
43828.8662350165,27309.642128299,100.0,P8
35490.2259556394,64137.2233127022,92.0,P8
37045.9424256724,61151.2032166695,83.0,P8
57021.3419008966,24074.7870242636,83.0,P8
56772.4272656913,23514.9082562574,117.0,P8
42522.0644001887,17791.7030721948,408.0,P8
23355.6374893817,42053.1163524604,125.0,P2
20244.2045493157,17605.0768161927,908.0,P2
21661.4998017933,17828.7523811162,267.0,P2
57941.0920320906,11551.3495936137,150.0,P2
18963.544434167,16884.867468177,242.0,P2
16973.2015781028,16746.6934299759,225.0,P2
17581.3618952336,15475.4922785256,150.0,P2
19599.3484020764,15005.7005486418,225.0,P2
22253.1388768286,21444.610728814,217.0,P2
19212.337291175,24705.5180303605,150.0,P2
44506.2777536573,21251.1670753324,483.0,P2
57270.2565361019,40684.5238084454,117.0,P2
32627.7076507786,59284.9406566491,133.0,P2
35863.5979084473,60777.9507046654,375.0,P2
46814.9894100991,60714.6868792453,192.0,P2
37194.9989391222,67402.3103281796,742.0,P2
36653.329517697,64380.661214367,167.0,P2
37365.7319716847,64210.8349735824,158.0,P2
35776.5264974044,63652.0518587426,200.0,P2
34570.9223445021,63054.9208830805,208.0,P2
34505.1621179801,62315.3549957925,258.0,P2
36203.967969797,62852.2250473052,242.0,P2
38105.5345200566,63443.8777571356,258.0,P2
37212.2914431335,63821.8780995272,658.0,P2
37411.1958319962,64459.5076625975,242.0,P2
37247.2011930155,64741.942701035,350.0,P2
37983.3909882019,64487.5076879598,425.0,P2
36920.8762170835,63071.5585793103,267.0,P2
37839.2461953751,62596.1262646071,83.0,P2
37240.6657630958,66014.3206651455,258.0,P2
37322.6630825861,63563.3851117618,75.0,P2
37273.4646908919,63620.7648738812,150.0,P2
35321.9284870221,64055.2116442134,108.0,P2
35904.1094554034,63940.4521199747,117.0,P2
38068.838689948,63924.0579022263,375.0,P2
37790.0478036809,63842.0868134844,100.0,P2
38118.0370816422,63448.6255875231,300.0,P2
48744.9302803209,25318.9620642772,133.0,P1
22235.521630958,19471.3393762132,208.0,P1
20368.6618669183,15738.8142561723,275.0,P1
20866.4911373289,18724.834352205,250.0,P1
17941.7441736668,13810.3429441512,1050.0,P1
17941.7441736668,18289.3730882002,400.0,P1
21364.3204077394,17791.7030721948,283.0,P1
23853.4667597923,16049.8580161757,250.0,P1
23666.7807833883,14121.3867041546,250.0,P1
19808.6039377064,11695.245376128,533.0,P1
38850.5735309108,63079.6745286906,133.0,P1
35988.05522605,59595.9844166525,125.0,P1
55652.3114072675,38009.5474724161,133.0,P1
48993.8449155261,18787.0431042057,358.0,P1
54843.3388428504,37263.042448408,125.0,P1
35925.8265672486,60404.6981926614,3350.0,P1
23231.1801717791,18973.6693602077,225.0,P1
20928.7197961302,16174.2755201771,342.0,P1
19373.0033260972,13996.9692001532,342.0,P1
27715.4593223218,14951.6483257684,117.0,P1
24310.0944067956,15710.4084333409,175.0,P1
22190.7478470976,15563.0227925931,642.0,P1
21839.4177479943,17132.4850837727,142.0,P1
27751.4244832468,16443.9279383405,300.0,P1
30096.5478206701,17870.22488245,258.0,P1
28243.4084001887,15771.7650106567,217.0,P1
35139.3829693251,17427.5810032436,175.0,P1
27735.0250193487,16853.7833820501,325.0,P1
23848.3520755073,16140.6349099953,208.0,P1
22077.2099745162,16058.6638212534,283.0,P1
58763.7443473336,44603.6751844883,192.0,P3
80606.0035865974,12628.3766561382,125.0,P3
55714.5400660688,14867.8917281627,158.0,P3
45135.6680698442,18973.6693602077,158.0,P3
22484.4362661632,19409.1306242125,208.0,P3
19684.1466201038,15489.9792481696,483.0,P3
36485.8844964605,57729.7218566321,200.0,P3
57456.9425125058,53126.2742085817,108.0,P3
51731.9059027843,12441.7504001362,150.0,P3
19373.0033260972,15303.3529921675,550.0,P3
17506.1435620575,17480.6593121914,208.0,P3
20617.5765021236,14619.05672016,350.0,P3
20679.8051609249,14619.05672016,658.0,P3
54221.0522548371,16360.9017761791,350.0,P3
47002.5278338839,52690.8129445769,175.0,P3
58763.7443473336,50575.7153765537,233.0,P3
52603.1071260028,16734.1542881832,233.0,P3
20493.1191845209,17418.4505601907,358.0,P3
19559.6893025011,14681.2654721607,158.0,P3
19808.6039377064,15116.7267361655,592.0,P3
21170.2059613025,14816.3148698504,625.0,P3
21938.6263860311,13674.8471692456,242.0,P3
20739.8418121755,12865.4435375394,642.0,P3
21080.9019499764,16687.6093184867,375.0,P3
18989.9703029731,13138.2611759612,467.0,P3
23426.0252873997,13285.8091356966,392.0,P3
24090.2035752713,13310.4004623192,142.0,P3
17423.8215007078,12187.3965465548,300.0,P3
21007.1043624351,14187.4911118578,233.0,P3
20055.9354563473,15130.15863239,475.0,P3
17374.6231090136,14999.0048904029,217.0,P3
20941.5065068428,16736.7919717318,192.0,P3
19826.3429617744,13564.5108374192,258.0,P3
17374.6231090136,14121.9142408643,325.0,P3
20072.3349202454,15294.1008098739,242.0,P3
20342.9260745634,13277.6120268224,267.0,P3
24631.3858839075,14253.0679828514,233.0,P3
21367.8925681925,13867.8038657643,117.0,P3
